Garcia Sanjuan, Sergi, 12345678W, garsanse@inf.upv.es
Bueno Gimeno, Víctor, 23456387R, buegimvi@inf.upv.es
Planes Tejada, Jose Luís, 35235987Z, platejjl@inf.upv.es
Sanchis Pou, Carlos, 76354927R, sanpouca@inf.upv.es
De la Vega, Lluís, 74625495D, delavell@inf.upv.es
Peñarrubia Larrosa, Félix, 54637260G, penlarfe@inf.upv.es
Francés Moreno, Álvaro José, 54629804J, framoral@inf.upv.es
Cabanes Corcera, Jose, 20944781F, cabcorjo@inf.upv.es
Giner Giner, Marc, 75689321C, ginginma@inf.upv.es
Esparza Santamaria, Iván, 21247638R, espsaniv@inf.upv.es
Salvador Fernández, José, 34522769B, salferjo@inf.upv.es
Sanso Leon, Javier, 87365442H, sanleoja@inf.upv.es
Palau Duart, Julio, 76523459K, palduaju@inf.upv.es
Kruithof Perelló, Sacha, 54270982E, krupersa@inf.upv.es
Lorja Jordan, Paco, 94732563K, lorjorpa@inf.upv.es
Gimeno Sánchez, Marc, 93451351U, gimsanma@inf.upv.es
Marrahí Ruano, Julio, 20023409X, marruaju@inf.upv.es
Moltó Puertas, Alfonso, 18453566V, molpueal@inf.upv.es
Chacón Dalmau, Nacho, 73456135M, chadalna@inf.upv.es
Sebastià Alonso, Rodrigo, 87643581S, sebaloro@inf.upv.es
Puchol Cataluña, Francesc Xavier, 34856245Y, puccatfr@inf.upv.es
Gregori Roig, Ángel, 73593591D, greroian@inf.upv.es
Sanchis Pou, Raúl, 83493473W, sanpoura@inf.upv.es
Llopis Cerdá, Josep, 34529756D, llocerjo@inf.upv.es
Salelles Sorolla, Carlos, 84738344C, salsorca@inf.upv.es
Vicente Mormeneo, Salvador, 34975355S, vicmorsa@inf.upv.es
Palau Clerigues, Salva, 54647831S, palclesa@inf.upv.es
Sanchis Soriano, Jaume, 34539845J, sansorja@inf.upv.es
Ortuño Orquin, Santiago, 23459845O, ortorqsa@inf.upv.es
Martínez Murillo, Seve, 12539435S, marmurse@inf.upv.es
Soro Juan, Francesc, 93483315F, sorjuafr@inf.upv.es
Buigues Mestre, Juan Bautista, 93485735J, buimesju@inf.upv.es
Ordiñana Llopis, Tonet, 39856334T, ordlloto@inf.upv.es
Vercher Guillem, Ximo, 49835728X, verguixi@inf.upv.es
Sendra Acosta, Vicent, 34569873V, senacovi@inf.upv.es
